month,category,total_price,origin
2000-02,0709,86431,BRA
2000-07,0709,662366,BRA
2000-12,0709,89706,BRA
2001-06,0709,158014,BRA
2001-08,0709,797171,BRA
2005-03,0709,33851,BRA
2006-03,0709,786,BRA
2006-06,0709,9665,BRA
2006-07,0709,0,BRA
2006-09,0709,0,BRA
2006-10,0709,1824,BRA
2006-11,0709,181766,BRA
2008-01,0709,22413,BRA
2010-04,0709,0,BRA
2011-02,0709,0,BRA
2011-09,0709,0,BRA
2012-05,0709,0,BRA
2012-10,0709,0,BRA
2012-12,0709,0,BRA
2013-04,0709,0,BRA
2013-07,0709,0,BRA
2013-10,0709,0,BRA
2014-02,0709,6374,BRA
2016-01,0709,0,BRA
2017-01,0709,2962,BRA
2017-07,0709,0,BRA
2018-03,0709,0,BRA
2018-06,0709,26510,BRA
2018-08,0709,8,BRA
2018-09,0709,16483,BRA
2019-10,0709,0,BRA
2019-12,0709,23178,BRA
2020-01,0709,2642,BRA
2020-02,0709,19354,BRA
2020-04,0709,12566,BRA
2000-08,0711,0,BRA
2000-06,0710,79473,BRA
2000-11,0710,4495,BRA
2001-01,0710,75802,BRA
2001-05,0710,10929,BRA
2002-09,0710,0,BRA
2003-02,0710,0,BRA
2003-04,0710,0,BRA
2004-01,0710,0,BRA
2004-04,0710,0,BRA
2004-08,0710,0,BRA
2005-01,0710,0,BRA
2005-06,0710,0,BRA
2005-07,0710,0,BRA
2006-04,0710,0,BRA
2006-08,0710,0,BRA
2007-03,0710,0,BRA
2007-06,0710,0,BRA
2007-10,0710,0,BRA
2008-08,0710,0,BRA
2009-04,0710,0,BRA
2010-03,0710,0,BRA
2010-09,0710,0,BRA
2011-03,0710,0,BRA
2012-11,0710,0,BRA
2013-03,0710,0,BRA
2013-12,0710,0,BRA
2014-04,0710,2854,BRA
2014-12,0710,0,BRA
2015-06,0710,0,BRA
2015-07,0710,0,BRA
2015-10,0710,0,BRA
2016-02,0710,0,BRA
2016-03,0710,0,BRA
2016-04,0710,0,BRA
2016-12,0710,0,BRA
2017-05,0710,0,BRA
2018-01,0710,0,BRA
2019-04,0710,0,BRA
2020-03,0710,691,BRA
2020-12,0710,2026,BRA
2001-07,0711,17036,BRA
2002-10,0711,620,BRA
2003-03,0711,154,BRA
2003-11,0711,0,BRA
2005-09,0711,45,BRA
2005-11,0711,0,BRA
2006-01,0711,0,BRA
2008-03,0711,1419,BRA
2009-02,0711,0,BRA
2009-12,0711,0,BRA
2010-06,0711,0,BRA
2010-11,0711,0,BRA
2011-04,0711,0,BRA
2011-06,0711,0,BRA
2011-08,0711,0,BRA
2011-10,0711,0,BRA
2011-11,0711,0,BRA
2012-01,0711,0,BRA
2012-08,0711,0,BRA
2012-09,0711,0,BRA
2013-06,0711,0,BRA
2013-08,0711,0,BRA
2014-10,0711,0,BRA
2015-04,0711,0,BRA
2015-11,0711,0,BRA
2016-09,0711,0,BRA
2018-05,0711,10365,BRA
2019-03,0711,11,BRA
2020-05,0711,69,BRA
2020-09,0711,210,BRA
2022-02,0711,94,BRA
2022-05,0711,1020.3359759002924,BRA
2000-01,0712,214842,BRA
2000-09,0712,271091,BRA
2000-10,0712,257102,BRA
2002-01,0712,119324,BRA
2002-02,0712,0,BRA
2003-09,0712,2637,BRA
2003-10,0712,0,BRA
2005-02,0712,1598,BRA
2005-08,0712,0,BRA
2005-12,0712,0,BRA
2006-02,0712,0,BRA
2007-04,0712,0,BRA
2007-11,0712,0,BRA
2009-01,0712,0,BRA
2009-06,0712,0,BRA
2009-11,0712,0,BRA
2010-12,0712,0,BRA
2011-05,0712,0,BRA
2013-09,0712,0,BRA
2014-08,0712,0,BRA
2015-09,0712,0,BRA
2016-11,0712,0,BRA
2017-02,0712,0,BRA
2017-12,0712,0,BRA
2019-07,0712,2942,BRA
