"ARQUIVO";"CO_ANO";"QT_ESTAT";"KG_LIQUIDO";"VL_FOB";"NUMERO_LINHAS"
"EXP_1997.csv";"1997";12627973856;208817826940;52947495532;529815
"EXP_1998.csv";"1998";46292246885;230153042546;51076603549;531069
"EXP_1999.csv";"1999";181308756553;228543547383;47945909310;549466
"EXP_2000.csv";"2000";71571312327;244537401277;54993159648;608920
"EXP_2001.csv";"2001";827374586980;272545750885;58032294243;642737
"EXP_2002.csv";"2002";302096795542;295461805933;60147158103;652868
"EXP_2003.csv";"2003";2215693624698;321001302633;72776746690;756433
"EXP_2004.csv";"2004";256209417573;375636524502;95121672369;872417
"EXP_2005.csv";"2005";104673629260;396824389155;118597835407;1082314
"EXP_2006.csv";"2006";278148489707;424257965816;137581151209;1060518
"EXP_2007.csv";"2007";2857976924249;461465463718;159816383833;1107634
"EXP_2008.csv";"2008";1226813410467;468761411307;195764624177;1085591
"EXP_2009.csv";"2009";538726663029;455255567414;151791674186;1006104
"EXP_2010.csv";"2010";245469883832;519741427910;200434134826;1044917
"EXP_2011.csv";"2011";100596967992;544085651715;253666309507;1071261
"EXP_2012.csv";"2012";511854184381;545932339242;239952538158;1063549
"EXP_2013.csv";"2013";580193111059;557952370783;232544255606;1074709
"EXP_2014.csv";"2014";485576625760;576395634212;220923236838;1057794
"EXP_2015.csv";"2015";521472343947;636029338192;186782355063;1048388
"EXP_2016.csv";"2016";526840590057;644891914917;179526129214;1092692
"EXP_2017.csv";"2017";560480100308;691743297215;214988108353;1096623
"EXP_2018.csv";"2018";584234291249;705549984512;231889523399;1128981
"EXP_2019.csv";"2019";526083644677;678108051917;221126807647;1393174
"EXP_2020.csv";"2020";503843862451;697446598673;209180241655;1344556
"EXP_2021.csv";"2021";524626711400;700387165796;280814577460;1480295
"EXP_2022.csv";"2022";149998791337;211269694672;101438649210;474112
